Wall time,Step,Value
1762048122.7287755,0,283.07159423828125
1762048125.9657257,1,798.8336791992188
1762048129.294277,2,999.733154296875
1762048132.558506,3,1714.893798828125
1762048135.8210502,4,1914.1575927734375
1762048139.0821173,5,2184.194091796875
1762048142.3665943,6,1721.710693359375
1762048145.7441523,7,2209.495361328125
1762048149.2690713,8,2750.32861328125
1762048152.8645813,9,3276.48291015625
1762048156.221445,10,5697.91650390625
1762048159.442935,11,5396.06787109375
1762048162.9125755,12,4397.44189453125
1762048166.247211,13,8149.3935546875
1762048169.6342866,14,10056.0283203125
1762048173.0350666,15,24108.16796875
1762048176.6074061,16,12801.1796875
1762048179.9855578,17,10166.083984375
1762048183.2681088,18,13148.6630859375
1762048186.7073393,19,20965.71484375
1762048190.505729,20,26264.498046875
1762048193.9248714,21,44889.27734375
1762048197.3956892,22,54088.16015625
1762048201.068434,23,57772.453125
1762048204.6395447,24,57119.38671875
1762048208.2434807,25,56336.66015625
1762048211.554014,26,55468.390625
1762048214.8523934,27,54428.93359375
1762048218.0182662,28,53448.1640625
1762048221.247985,29,52517.00390625
1762048224.514383,30,51630.3125
1762048227.790346,31,50785.796875
1762048231.0759103,32,49977.48828125
1762048234.356829,33,49201.31640625
1762048237.78171,34,46485.3203125
1762048241.0779977,35,47749.3671875
1762048244.3577585,36,47060.88671875
1762048247.611042,37,46393.7890625
1762048251.0731869,38,43975.8046875
1762048254.3944132,39,45130.59765625
1762048257.6719322,40,44523.81640625
1762048260.9688458,41,43938.33203125
1762048264.2475784,42,43365.796875
1762048267.5563247,43,42810.55078125
1762048271.11383,44,42269.9765625
1762048274.6426287,45,41742.828125
1762048277.9027898,46,41224.52734375
1762048281.3176434,47,40707.9609375
1762048284.7059586,48,40199.25
1762048288.2223372,49,39754.5859375
1762048291.4791954,50,39303.68359375
1762048294.8991008,51,38851.55078125
1762048298.4286878,52,38411.4296875
1762048301.7917767,53,37981.91796875
1762048305.0636854,54,37562.7890625
1762048308.6115096,55,37153.65234375
1762048312.0891323,56,36754.16796875
1762048315.4675186,57,36364.03125
1762048318.821069,58,35982.94921875
1762048322.178316,59,35610.66015625
1762048325.3716109,60,35246.91796875
1762048328.5608065,61,29040.8046875
1762048332.0902133,62,13051.02734375
1762048335.3992598,63,8701.66796875
1762048338.6800573,64,5357.0400390625
1762048341.8463511,65,4702.61572265625
1762048345.0465786,66,4693.59716796875
1762048348.3637195,67,5429.1904296875
1762048351.7747486,68,6884.40478515625
1762048355.205293,69,16812.0078125
1762048358.4122283,70,34050.67578125
1762048361.5969348,71,33838.0234375
1762048364.8815432,72,33574.5546875
1762048368.1319983,73,33284.28125
1762048371.4143019,74,32981.42578125
1762048375.098633,75,31010.353515625
1762048378.5683956,76,30961.783203125
1762048382.1278276,77,29390.1484375
1762048385.326225,78,27127.568359375
1762048389.1061022,79,24352.267578125
1762048393.144201,80,27725.865234375
1762048396.682982,81,26110.443359375
1762048400.0072954,82,22522.435546875
1762048403.8338149,83,23191.982421875
1762048408.0131688,84,26608.4453125
1762048411.2089367,85,25731.962890625
1762048414.7183597,86,29969.736328125
1762048418.31064,87,28738.384765625
1762048422.0271902,88,29147.86328125
1762048425.274784,89,26070.873046875
1762048429.0468037,90,25911.236328125
1762048432.6962452,91,27284.880859375
1762048436.1526303,92,27134.65625
1762048439.6763515,93,26954.263671875
1762048443.208455,94,27876.6015625
1762048446.4126298,95,27966.55859375
1762048449.869902,96,27101.26953125
1762048453.091094,97,27436.857421875
1762048456.320661,98,27244.19140625
1762048459.4999306,99,27052.70703125
