Wall time,Step,Value
1762055498.9389062,0,395.8887023925781
1762055502.2193692,1,838.793701171875
1762055505.50133,2,1637.07470703125
1762055508.7759092,3,1515.9322509765625
1762055511.923844,4,2563.631591796875
1762055515.196468,5,2672.198486328125
1762055518.726609,6,4264.46728515625
1762055522.1012204,7,5384.20849609375
1762055525.4106486,8,6350.03125
1762055528.8516905,9,10747.9794921875
1762055532.2544112,10,11935.7236328125
1762055535.7266138,11,17111.859375
1762055539.1357987,12,14690.5849609375
1762055542.521226,13,20654.8125
1762055545.8756034,14,41068.4765625
1762055549.4838262,15,54784.75
1762055553.075572,16,56569.4609375
1762055556.4977746,17,50143.80078125
1762055559.8204215,18,79667.796875
1762055563.3989298,19,76249.1796875
1762055566.8938782,20,76406.765625
1762055570.5119557,21,73492.1875
1762055574.0219383,22,75559.9140625
1762055577.5155675,23,75837.46875
1762055580.81978,24,78447.96875
1762055584.449934,25,78241.6171875
1762055588.0763147,26,78041.7734375
1762055591.6385386,27,77341.5078125
1762055595.3089526,28,75417.5
1762055599.4568446,29,75655.9140625
1762055602.9679644,30,69181.2109375
1762055606.462741,31,68725.1640625
1762055610.1607335,32,69888.3359375
1762055613.8706656,33,70307.5703125
1762055617.3901935,34,66344.5078125
1762055620.7526217,35,76307.8984375
1762055624.639211,36,75424.34375
1762055628.093432,37,75936.0625
1762055631.3865874,38,75751.0859375
1762055634.9135058,39,75566.421875
1762055638.350735,40,75382.1171875
1762055641.9383566,41,74707.1953125
1762055645.207504,42,75015.765625
1762055648.758283,43,73748.359375
1762055652.0275223,44,74652.40625
1762055655.2825725,45,74472.0546875
1762055658.546947,46,74292.5625
1762055661.8243175,47,74114.078125
1762055665.099958,48,73936.34375
1762055668.2982218,49,73759.71875
1762055671.5633185,50,73584.625
1762055675.2727132,51,71704.875
1762055678.7543206,52,56680.0078125
1762055682.0654266,53,29196.34375
1762055685.3849635,54,38260.3671875
1762055688.7632658,55,55580.2421875
1762055692.0667875,56,72572.2578125
1762055695.3604248,57,72410.1875
1762055698.6607912,58,72247.484375
1762055701.9322186,59,72085.0390625
1762055705.4778292,60,71922.6953125
1762055709.3278341,61,67927.7265625
1762055712.7784693,62,66103.71875
1762055716.316574,63,70099.109375
1762055719.930762,64,67863.890625
1762055723.6369877,65,67861.9921875
1762055726.8649435,66,70954.9296875
1762055730.6236818,67,70318.6484375
1762055733.996774,68,70634.921875
1762055737.623883,69,65536.3046875
1762055740.8115635,70,70316.453125
1762055744.2560596,71,67686.671875
1762055747.557438,72,69999.9609375
1762055750.7825372,73,69842.2890625
1762055754.1714022,74,69685.0
1762055757.5479145,75,69528.078125
1762055760.8019266,76,69371.46875
1762055764.0177946,77,69215.3203125
1762055767.243037,78,69059.484375
1762055770.4842389,79,68904.125
1762055773.683824,80,68749.234375
1762055776.907221,81,68594.84375
1762055780.1689188,82,68440.921875
1762055783.3301072,83,68287.546875
1762055786.5269487,84,68134.6875
1762055789.748466,85,67982.3125
1762055793.016035,86,67830.4609375
1762055796.2412717,87,67679.0234375
1762055799.5001435,88,67528.15625
1762055802.7702043,89,67377.828125
1762055805.9916573,90,67227.9765625
1762055809.2370276,91,67078.6953125
1762055812.4863458,92,66929.921875
1762055815.6991713,93,66781.71875
1762055818.8900995,94,66634.0625
1762055822.0627692,95,66486.890625
1762055825.9264617,96,66340.3984375
1762055829.9097743,97,66194.5625
1762055833.0706537,98,66049.1015625
1762055836.2305403,99,65903.859375
