Wall time,Step,Value
1762055941.2442644,0,409.15496826171875
1762055944.8679802,1,739.232421875
1762055948.5181055,2,1528.8131103515625
1762055951.8055615,3,1694.2222900390625
1762055955.050838,4,2509.968505859375
1762055958.6283274,5,4384.3671875
1762055962.2580602,6,4083.095703125
1762055965.5665097,7,4457.8583984375
1762055969.0728154,8,7579.673828125
1762055972.68805,9,10648.544921875
1762055976.0423954,10,12677.8759765625
1762055979.3375158,11,14546.5498046875
1762055982.866127,12,39194.01171875
1762055986.598464,13,57611.98828125
1762055990.0138521,14,68015.125
1762055993.4092531,15,65948.4609375
1762055997.1363492,16,75715.40625
1762056000.7399468,17,74676.203125
1762056004.252535,18,76953.7109375
1762056007.7600565,19,75879.796875
1762056011.266112,20,74467.015625
1762056014.689653,21,72891.0390625
1762056017.9186034,22,76838.890625
1762056021.450056,23,75986.40625
1762056024.9201083,24,74385.3671875
1762056028.169621,25,76169.3046875
1762056031.4443126,26,75952.9609375
1762056034.8300657,27,70879.921875
1762056038.4179363,28,73980.484375
1762056041.798608,29,69899.3125
1762056045.3796136,30,72337.25
1762056048.7708378,31,74943.265625
1762056052.3766966,32,71074.84375
1762056055.7508316,33,74563.015625
1762056059.3084688,34,70505.421875
1762056062.8879027,35,72007.7265625
1762056066.4102604,36,74009.25
1762056070.1991487,37,71352.40625
1762056073.4480028,38,73647.71875
1762056076.880995,39,73468.140625
1762056080.5238953,40,73291.4375
1762056083.8964322,41,73114.75
1762056087.4377553,42,70529.1015625
1762056091.063707,43,72771.3046875
1762056094.5370026,44,72600.515625
1762056097.9024487,45,72429.140625
1762056101.647154,46,67186.078125
1762056105.1356487,47,72094.8359375
1762056108.9474692,48,69759.1171875
1762056112.2912912,49,71763.109375
1762056115.9192572,50,67794.171875
1762056119.6374133,51,69072.375
1762056123.204618,52,65673.078125
1762056126.5474534,53,71118.484375
1762056129.8957767,54,70960.21875
1762056133.5093207,55,69536.4375
1762056136.8756802,56,70646.0390625
1762056140.535106,57,65364.0859375
1762056144.1042101,58,38863.86328125
1762056147.5207267,59,25526.60546875
1762056151.0049043,60,19154.3671875
1762056154.438076,61,14065.8408203125
1762056157.868328,62,11487.08984375
1762056161.3605947,63,11671.4697265625
1762056164.8545938,64,11688.0546875
1762056168.336351,65,14053.8671875
1762056171.863106,66,18817.080078125
1762056175.2903366,67,30831.015625
1762056178.8342533,68,56234.578125
1762056182.030446,69,69300.5546875
1762056185.5257142,70,69160.703125
1762056189.5299942,71,69011.7109375
1762056192.9626694,72,68857.5859375
1762056196.2729535,73,68700.6953125
1762056200.495537,74,65799.4296875
1762056204.458617,75,68386.0
1762056207.757979,76,63079.79296875
1762056211.277564,77,68074.5
1762056215.3841546,78,62945.0546875
1762056218.8036191,79,67766.3828125
1762056222.3885047,80,65241.83203125
1762056226.322927,81,66847.2734375
1762056230.1082625,82,67306.2734375
1762056233.437471,83,61863.58984375
1762056237.213471,84,65336.4921875
1762056240.8778646,85,66854.6796875
1762056244.2457623,86,66703.9609375
1762056247.6126034,87,66553.2109375
1762056250.9582036,88,66402.8046875
1762056254.2084317,89,66252.8125
1762056257.4882188,90,66103.375
1762056260.7057354,91,65954.5546875
1762056263.9237528,92,65806.3125
1762056267.193415,93,65658.6953125
1762056270.4855819,94,65511.640625
1762056273.773692,95,65365.18359375
1762056277.343425,96,63432.67578125
1762056280.9422843,97,64969.6484375
1762056284.2337449,98,64930.95703125
1762056287.6417124,99,60326.25390625
