Wall time,Step,Value
1762046356.1340702,0,23.922618865966797
1762046358.8282533,1,34.239315032958984
1762046361.8210053,2,47.30588150024414
1762046364.7267401,3,42.95744705200195
1762046367.3491902,4,53.1315803527832
1762046370.0237224,5,64.80952453613281
1762046372.828339,6,77.77777862548828
1762046375.5408485,7,77.15093994140625
1762046378.1728153,8,89.95555877685547
1762046380.7802396,9,110.51351165771484
1762046383.4403534,10,143.2142791748047
1762046386.103378,11,144.07142639160156
1762046388.8139658,12,158.23077392578125
1762046391.6070535,13,184.2608642578125
1762046394.4082057,14,178.6086883544922
1762046397.0381887,15,200.5
1762046399.6233165,16,191.5238037109375
1762046402.309892,17,243.8235321044922
1762046405.064737,18,227.05555725097656
1762046407.8374436,19,292.4285583496094
1762046410.7678604,20,376.3636474609375
1762046413.432395,21,447.5555419921875
1762046416.0247965,22,500.0
1762046418.592372,23,500.0
1762046421.2177918,24,500.0
1762046423.844767,25,500.0
1762046426.4917343,26,500.0
1762046429.0691268,27,500.0
1762046431.6878417,28,500.0
1762046434.2893243,29,500.0
1762046437.159572,30,496.0
1762046439.963243,31,495.4444580078125
1762046442.578778,32,449.0
1762046445.5423222,33,406.81817626953125
1762046448.2117069,34,424.5
1762046450.9432616,35,423.5
1762046453.6053236,36,418.0
1762046456.367111,37,411.5
1762046459.3716817,38,459.77777099609375
1762046462.1813378,39,439.1000061035156
1762046464.9138007,40,461.22222900390625
1762046468.0263062,41,442.29998779296875
1762046471.0047226,42,482.8888854980469
1762046473.5657983,43,401.5
1762046476.2862437,44,477.22222900390625
1762046479.2742474,45,465.8888854980469
1762046482.04998,46,500.0
1762046484.7669187,47,500.0
1762046487.3882062,48,500.0
1762046490.190542,49,500.0
1762046493.0297318,50,500.0
1762046495.7717364,51,500.0
1762046498.5129972,52,500.0
1762046501.21601,53,500.0
1762046504.0817308,54,500.0
1762046506.9282465,55,500.0
1762046509.6489162,56,500.0
1762046512.339254,57,500.0
1762046515.0712843,58,500.0
1762046517.8641484,59,500.0
1762046520.5863438,60,500.0
1762046523.2361267,61,500.0
1762046525.92728,62,500.0
1762046528.6102757,63,500.0
1762046531.3150065,64,500.0
1762046533.9631536,65,500.0
1762046536.5997581,66,500.0
1762046539.2540956,67,500.0
1762046541.948832,68,500.0
1762046544.6390886,69,500.0
1762046547.2945948,70,500.0
1762046550.009258,71,500.0
1762046552.663737,72,500.0
1762046555.3753157,73,500.0
1762046558.0779793,74,500.0
1762046560.7564948,75,500.0
1762046563.427331,76,500.0
1762046566.3458476,77,500.0
1762046569.0338545,78,500.0
1762046571.74155,79,500.0
1762046574.42342,80,500.0
1762046577.0734975,81,500.0
1762046579.7266765,82,500.0
1762046582.397782,83,500.0
1762046585.1824358,84,500.0
1762046588.1554163,85,466.4444580078125
1762046591.0119948,86,500.0
1762046593.6931958,87,500.0
1762046596.2781518,88,500.0
1762046599.3891425,89,500.0
1762046602.6644685,90,500.0
1762046605.3034782,91,500.0
1762046607.8792815,92,500.0
1762046610.6215246,93,500.0
1762046613.5196812,94,500.0
1762046616.3187768,95,500.0
1762046618.991065,96,500.0
1762046621.756532,97,500.0
1762046624.8195047,98,500.0
1762046627.9020753,99,500.0
1762046630.6036527,100,500.0
1762046633.3153105,101,500.0
1762046636.2342687,102,500.0
1762046639.1730056,103,500.0
1762046642.0021443,104,500.0
1762046644.6863275,105,500.0
1762046647.3930643,106,500.0
1762046650.08961,107,500.0
1762046652.77592,108,500.0
1762046655.503198,109,500.0
1762046658.2081923,110,500.0
1762046660.9126165,111,500.0
1762046663.6266494,112,500.0
1762046666.3044894,113,500.0
1762046669.0063303,114,500.0
1762046671.6711361,115,500.0
1762046674.3870134,116,500.0
1762046677.1255229,117,500.0
1762046679.7753801,118,500.0
1762046682.3922508,119,500.0
1762046684.964419,120,500.0
1762046687.5770261,121,500.0
1762046690.1861217,122,500.0
1762046692.7699618,123,500.0
1762046695.3501773,124,500.0
1762046698.0344305,125,500.0
1762046700.6317873,126,500.0
1762046703.166725,127,500.0
1762046706.0339043,128,500.0
1762046709.2999988,129,500.0
1762046712.4112067,130,500.0
1762046714.9639075,131,500.0
1762046717.571175,132,500.0
1762046720.8574214,133,500.0
1762046724.0880022,134,500.0
1762046726.9576352,135,500.0
1762046729.4895034,136,500.0
1762046732.231372,137,500.0
1762046734.9405668,138,500.0
1762046737.7937043,139,500.0
1762046740.4358659,140,500.0
1762046743.0047123,141,500.0
1762046745.5575516,142,500.0
1762046748.3589563,143,500.0
1762046751.101595,144,500.0
1762046753.7429085,145,500.0
1762046756.4807906,146,500.0
1762046759.431602,147,500.0
1762046762.0396676,148,500.0
1762046764.6556225,149,500.0
1762046767.2903268,150,500.0
1762046769.92679,151,500.0
1762046772.538746,152,500.0
1762046775.1327813,153,500.0
1762046777.729413,154,500.0
1762046780.3828607,155,500.0
1762046783.000093,156,500.0
1762046785.645042,157,500.0
1762046788.267324,158,500.0
1762046790.902836,159,500.0
1762046793.4819171,160,500.0
1762046796.07791,161,500.0
1762046798.6756003,162,500.0
1762046801.2370367,163,500.0
1762046803.9484096,164,500.0
1762046806.6000192,165,500.0
1762046809.184309,166,500.0
1762046811.8639169,167,500.0
1762046814.5101197,168,500.0
1762046817.1271844,169,500.0
1762046819.713099,170,500.0
1762046822.3327792,171,500.0
1762046824.8713236,172,500.0
1762046828.0092695,173,500.0
1762046831.2832363,174,500.0
1762046834.154322,175,500.0
1762046836.7158127,176,500.0
1762046839.3676536,177,500.0
1762046842.441849,178,500.0
1762046845.7464907,179,500.0
1762046848.34044,180,500.0
1762046850.9009957,181,500.0
1762046853.7598531,182,500.0
1762046856.5795918,183,500.0
1762046859.432898,184,500.0
1762046862.115581,185,500.0
1762046864.7372272,186,500.0
1762046867.5283232,187,500.0
1762046870.4728582,188,500.0
1762046873.1723144,189,500.0
1762046875.8338876,190,500.0
1762046878.6679454,191,500.0
1762046881.4277146,192,500.0
1762046884.0647647,193,500.0
1762046886.6806011,194,500.0
1762046889.2504082,195,500.0
1762046891.8397543,196,500.0
1762046894.45834,197,500.0
1762046897.0336878,198,500.0
1762046899.6065462,199,500.0
