Wall time,Step,Value
1762044289.3244054,0,22.863636016845703
1762044290.2337823,1,31.33333396911621
1762044291.1127255,2,40.599998474121094
1762044292.0024571,3,55.0
1762044292.8936653,4,62.47058868408203
1762044293.8553283,5,47.227272033691406
1762044294.9594395,6,52.0476188659668
1762044295.9366858,7,103.5
1762044297.0051935,8,75.07142639160156
1762044298.2178614,9,50.400001525878906
1762044299.4577413,10,70.33333587646484
1762044300.6843731,11,104.19999694824219
1762044301.9248643,12,171.3333282470703
1762044303.0311704,13,145.14285278320312
1762044304.194398,14,144.7142791748047
1762044305.4120977,15,146.7142791748047
1762044306.6426742,16,154.57142639160156
1762044307.8189807,17,147.57142639160156
1762044309.0274959,18,214.60000610351562
1762044310.296851,19,267.25
1762044311.5307918,20,281.5
1762044312.7458994,21,265.25
1762044314.1328986,22,289.75
1762044315.3621902,23,385.0
1762044316.7035422,24,374.6666564941406
1762044318.1916795,25,392.6666564941406
1762044319.4756277,26,277.25
1762044320.727406,27,225.39999389648438
1762044322.065692,28,232.1999969482422
1762044323.235624,29,260.75
1762044324.579545,30,228.0
1762044325.9947615,31,160.0
1762044327.1598916,32,163.14285278320312
1762044328.3696668,33,149.2857208251953
1762044329.6692839,34,157.7142791748047
1762044330.840918,35,142.85714721679688
1762044332.1237984,36,167.7142791748047
1762044333.2467496,37,148.57142639160156
1762044334.5670574,38,182.8333282470703
1762044335.8705425,39,143.75
1762044337.1110876,40,180.3333282470703
1762044338.246547,41,200.60000610351562
1762044339.470674,42,154.0
1762044340.7299976,43,170.14285278320312
1762044342.030343,44,219.1999969482422
1762044343.179067,45,200.8000030517578
1762044344.4011893,46,200.1999969482422
1762044345.8027487,47,250.25
1762044347.1727707,48,188.6666717529297
1762044348.3890948,49,194.8333282470703
1762044349.7641318,50,181.8333282470703
1762044351.0422435,51,223.1999969482422
1762044352.2975886,52,230.1999969482422
1762044353.4001217,53,207.39999389648438
1762044354.6257536,54,180.1666717529297
1762044355.8780777,55,180.0
1762044357.099508,56,181.0
1762044358.374367,57,184.0
1762044359.6009946,58,184.8333282470703
1762044360.888696,59,197.0
1762044362.0095775,60,215.39999389648438
1762044363.422254,61,239.8000030517578
1762044364.6863873,62,293.5
1762044366.0452492,63,373.0
1762044367.433096,64,464.0
1762044368.9143536,65,298.0
1762044370.3782048,66,309.25
1762044371.8377461,67,331.0
1762044373.4951305,68,468.0
1762044374.6796794,69,500.0
1762044375.8949723,70,500.0
1762044377.1170087,71,500.0
1762044378.2661154,72,500.0
1762044379.5910578,73,500.0
1762044380.7413347,74,500.0
1762044381.9679651,75,500.0
1762044383.133179,76,500.0
1762044384.3671246,77,500.0
1762044385.5610921,78,500.0
1762044386.70326,79,500.0
1762044387.9054935,80,500.0
1762044389.1558003,81,500.0
1762044390.3930237,82,500.0
1762044391.7614481,83,500.0
1762044393.0401266,84,500.0
1762044394.168874,85,500.0
1762044395.3154612,86,500.0
1762044396.4537485,87,500.0
1762044397.587342,88,500.0
1762044398.7537718,89,500.0
1762044399.9240954,90,500.0
1762044401.0722678,91,500.0
1762044402.292507,92,500.0
1762044403.4726994,93,500.0
1762044404.5657427,94,500.0
1762044405.7711198,95,500.0
1762044406.9074976,96,500.0
1762044408.0690842,97,500.0
1762044409.2163093,98,500.0
1762044410.3572905,99,500.0
1762044411.4616032,100,500.0
1762044412.6114175,101,500.0
1762044413.741925,102,500.0
1762044414.8811939,103,500.0
1762044416.0036016,104,500.0
1762044417.1060953,105,500.0
1762044418.2797542,106,500.0
1762044419.4203966,107,500.0
1762044420.5617368,108,500.0
1762044421.6816182,109,500.0
1762044422.800028,110,500.0
1762044424.0012357,111,500.0
1762044425.1191132,112,500.0
1762044426.3006132,113,500.0
1762044427.5280232,114,500.0
1762044428.6858182,115,500.0
1762044429.8791754,116,500.0
1762044431.144442,117,500.0
1762044432.324773,118,500.0
1762044433.4433348,119,500.0
1762044434.5868137,120,500.0
1762044435.6059823,121,500.0
1762044436.6735322,122,500.0
1762044437.7254324,123,500.0
1762044438.876149,124,500.0
1762044440.016878,125,500.0
1762044441.236983,126,500.0
1762044442.3224094,127,500.0
1762044443.4462957,128,500.0
1762044444.5551586,129,500.0
1762044445.6591175,130,500.0
1762044446.7734892,131,500.0
1762044447.846729,132,500.0
1762044449.082798,133,500.0
1762044450.305523,134,500.0
1762044451.8198295,135,471.0
1762044453.0551593,136,500.0
1762044454.2554464,137,500.0
1762044455.4368658,138,500.0
1762044456.5292127,139,500.0
1762044457.734261,140,500.0
1762044458.8155696,141,500.0
1762044459.9837413,142,500.0
1762044461.1337984,143,500.0
1762044462.2501552,144,500.0
1762044463.3954039,145,500.0
1762044464.5912778,146,500.0
1762044465.7477005,147,500.0
1762044466.9388669,148,500.0
1762044468.2305684,149,500.0
1762044469.4871306,150,500.0
1762044470.6375468,151,500.0
1762044471.8322632,152,500.0
1762044472.9178681,153,500.0
1762044474.1099288,154,500.0
1762044475.3080392,155,500.0
1762044476.4310675,156,500.0
1762044477.6005876,157,500.0
1762044478.7595673,158,500.0
1762044479.9526558,159,500.0
1762044481.1705341,160,500.0
1762044482.3165946,161,500.0
1762044483.476105,162,500.0
1762044484.6800942,163,500.0
1762044485.7683034,164,500.0
1762044486.8883011,165,500.0
