Wall time,Step,Value
1762041801.7686276,0,1004.0
1762041802.6685328,1,2035.0
1762041803.5412343,2,3100.0
1762041804.4716177,3,4164.0
1762041805.3652225,4,5172.0
1762041806.33289,5,6206.0
1762041807.3265083,6,7209.0
1762041808.3050425,7,8233.0
1762041809.3234859,8,9317.0
1762041810.5031865,9,10556.0
1762041811.50561,10,11616.0
1762041812.4110432,11,12648.0
1762041813.4416206,12,13780.0
1762041814.3752313,13,14802.0
1762041815.2772062,14,15821.0
1762041816.2491553,15,16865.0
1762041817.1666098,16,17901.0
1762041818.0528462,17,18919.0
1762041819.0996156,18,19982.0
1762041820.0488756,19,21021.0
1762041821.083446,20,22071.0
1762041822.1542265,21,23176.0
1762041823.2144058,22,24287.0
1762041824.3031535,23,25400.0
1762041825.267453,24,26508.0
1762041826.1566315,25,27520.0
1762041827.0391555,26,28542.0
1762041827.9428198,27,29546.0
1762041828.958967,28,30663.0
1762041829.8689337,29,31667.0
1762041830.8686838,30,32787.0
1762041831.935627,31,33853.0
1762041832.9686694,32,34869.0
1762041834.0425248,33,35977.0
1762041835.1834445,34,37036.0
1762041836.3241816,35,38127.0
1762041837.2885323,36,39202.0
1762041838.2165155,37,40224.0
1762041839.2349203,38,41350.0
1762041840.1025374,39,42413.0
1762041841.0311947,40,43436.0
1762041841.9348838,41,44467.0
1762041842.8770983,42,45630.0
1762041843.8059196,43,46733.0
1762041844.6721158,44,47746.0
1762041845.6568882,45,48914.0
1762041846.5534241,46,49936.0
1762041847.474735,47,50999.0
1762041848.3991964,48,52053.0
1762041849.3357856,49,53076.0
1762041850.2112157,50,54094.0
1762041851.101688,51,55117.0
1762041852.0677934,52,56245.0
1762041852.991796,53,57292.0
1762041853.9111366,54,58325.0
1762041854.8394635,55,59343.0
1762041855.7734785,56,60355.0
1762041856.9517877,57,61619.0
1762041858.031539,58,62810.0
1762041859.0015056,59,63873.0
1762041860.0404673,60,65154.0
1762041861.14682,61,66405.0
1762041862.2171404,62,67675.0
1762041863.262937,63,68890.0
1762041864.3710966,64,69933.0
1762041865.386681,65,71074.0
1762041866.429032,66,72287.0
1762041867.5497334,67,73584.0
1762041868.5795307,68,74620.0
1762041869.7505043,69,76077.0
1762041870.640518,70,77077.0
1762041871.8134675,71,78513.0
1762041872.7007797,72,79513.0
1762041873.5975769,73,80513.0
1762041874.520306,74,81513.0
1762041875.4056664,75,82513.0
1762041876.3085728,76,83513.0
1762041877.2270575,77,84513.0
1762041878.4693892,78,85784.0
1762041879.4250138,79,86866.0
1762041880.3648922,80,87918.0
1762041881.3711677,81,89084.0
1762041882.258556,82,90146.0
1762041883.1577456,83,91234.0
1762041884.0265372,84,92246.0
1762041884.9109786,85,93347.0
1762041885.8157115,86,94350.0
1762041886.7616827,87,95425.0
1762041887.6902113,88,96425.0
1762041888.590007,89,97446.0
1762041889.5649428,90,98538.0
1762041890.4728577,91,99629.0
1762041891.4278514,92,100719.0
1762041892.350775,93,101736.0
1762041893.2518904,94,102807.0
1762041894.168412,95,103903.0
1762041895.040031,96,104937.0
1762041895.9201164,97,105964.0
1762041896.7867932,98,106971.0
1762041897.6746998,99,107995.0
1762041898.5398662,100,109003.0
1762041899.4297576,101,110039.0
1762041900.3350947,102,111041.0
1762041901.2612922,103,112139.0
1762041902.1952677,104,113181.0
1762041903.2158716,105,114185.0
1762041904.2354484,106,115228.0
1762041905.2317357,107,116267.0
1762041906.222431,108,117345.0
1762041907.1593401,109,118356.0
1762041908.1937065,110,119403.0
1762041909.090447,111,120453.0
1762041909.9987576,112,121504.0
1762041910.8896687,113,122578.0
1762041911.8032987,114,123608.0
1762041912.7292416,115,124701.0
1762041913.675903,116,125768.0
1762041914.568455,117,126816.0
1762041915.5642366,118,127865.0
1762041916.3780694,119,128887.0
1762041917.193834,120,129916.0
1762041918.0718107,121,130931.0
1762041918.929286,122,131956.0
1762041919.898329,123,133011.0
1762041920.803055,124,134026.0
1762041921.7143419,125,135065.0
1762041922.6084468,126,136081.0
1762041923.4958072,127,137109.0
1762041924.4114363,128,138149.0
1762041925.3263345,129,139184.0
1762041926.1828575,130,140217.0
1762041927.164245,131,141263.0
1762041928.1849682,132,142291.0
1762041929.2476943,133,143377.0
1762041930.2502308,134,144459.0
1762041931.1481326,135,145461.0
1762041932.0863907,136,146471.0
1762041933.1905754,137,147527.0
1762041934.1515503,138,148618.0
1762041935.0370445,139,149686.0
1762041936.0452914,140,150818.0
1762041937.0100915,141,151922.0
1762041937.9363465,142,153012.0
1762041938.8328578,143,154095.0
1762041939.7670012,144,155167.0
1762041940.772706,145,156224.0
1762041941.732139,146,157303.0
1762041942.6676478,147,158327.0
1762041943.881355,148,159410.0
1762041944.867866,149,160427.0
1762041945.894212,150,161530.0
1762041946.8950698,151,162700.0
1762041947.8828032,152,163871.0
1762041948.8544362,153,164943.0
1762041949.777159,154,165943.0
1762041950.6971147,155,166943.0
1762041951.6180196,156,167943.0
1762041952.5336304,157,168943.0
1762041953.546432,158,169943.0
1762041954.5056334,159,170943.0
1762041955.4839513,160,171943.0
1762041956.4588363,161,172943.0
1762041957.4153693,162,173943.0
1762041958.3496852,163,174943.0
1762041959.3649163,164,175943.0
1762041960.3680525,165,177022.0
1762041961.3670814,166,178163.0
1762041962.2559094,167,179167.0
1762041963.2119303,168,180312.0
1762041964.1128528,169,181385.0
1762041965.0513372,170,182394.0
1762041966.0586526,171,183502.0
1762041967.0240457,172,184562.0
1762041967.9816954,173,185609.0
1762041968.9062986,174,186621.0
1762041969.882501,175,187786.0
1762041970.820117,176,188879.0
1762041971.7257261,177,189935.0
1762041972.6294322,178,190993.0
1762041973.5796115,179,192126.0
1762041974.5081892,180,193254.0
1762041975.423591,181,194344.0
1762041976.3838127,182,195397.0
1762041977.3191633,183,196414.0
1762041978.2358398,184,197424.0
1762041979.1609986,185,198435.0
1762041980.144385,186,199548.0
1762041981.0635533,187,200648.0
1762041981.9155874,188,201714.0
1762041982.8435616,189,202771.0
1762041983.7288826,190,203803.0
1762041984.5889878,191,204813.0
1762041985.5325584,192,205926.0
1762041986.4634435,193,207026.0
1762041987.3910353,194,208123.0
1762041988.311856,195,209202.0
1762041989.2320495,196,210307.0
1762041990.170649,197,211419.0
1762041991.0799859,198,212451.0
1762041991.995187,199,213564.0
