Wall time,Step,Value
1762045075.6544414,0,4051.0
1762045078.3097992,1,8070.0
1762045081.0002007,2,12084.0
1762045083.6818542,3,16106.0
1762045086.4002216,4,20145.0
1762045089.0869374,5,24221.0
1762045091.7546437,6,28253.0
1762045094.4387486,7,32263.0
1762045097.191103,8,36302.0
1762045099.8761678,9,40333.0
1762045102.5755394,10,44379.0
1762045105.3431578,11,48477.0
1762045108.0716937,12,52504.0
1762045110.7887158,13,56594.0
1762045113.5053945,14,60643.0
1762045116.2322164,15,64766.0
1762045118.9834325,16,68882.0
1762045121.6937857,17,72993.0
1762045124.3602512,18,77108.0
1762045127.0767221,19,81161.0
1762045129.817119,20,85200.0
1762045132.5498397,21,89293.0
1762045135.2499638,22,93322.0
1762045137.9351575,23,97402.0
1762045140.7418296,24,101541.0
1762045143.5772474,25,105672.0
1762045146.490185,26,109952.0
1762045149.529629,27,114295.0
1762045152.529029,28,118440.0
1762045155.7743726,29,122712.0
1762045158.548799,30,126891.0
1762045161.4553478,31,131054.0
1762045164.7128627,32,135488.0
1762045167.5121286,33,139488.0
1762045170.422965,34,143635.0
1762045173.1690848,35,147772.0
1762045176.086496,36,151921.0
1762045178.9530823,37,156035.0
1762045181.9888499,38,160427.0
1762045184.8248234,39,164496.0
1762045187.9424806,40,168842.0
1762045190.801071,41,172977.0
1762045193.6006844,42,177062.0
1762045196.4367356,43,181320.0
1762045199.1665769,44,185389.0
1762045202.0631647,45,189523.0
1762045204.8909676,46,193779.0
1762045207.6284523,47,197972.0
1762045210.4044318,48,202257.0
1762045213.2422283,49,206667.0
1762045215.907191,50,210667.0
1762045218.7511094,51,215013.0
1762045221.3746514,52,219013.0
1762045224.0016377,53,223013.0
1762045226.641531,54,227013.0
1762045229.2196155,55,231013.0
1762045231.8327794,56,235013.0
1762045234.4525337,57,239013.0
1762045237.1025536,58,243013.0
1762045239.7070694,59,247013.0
1762045242.297301,60,251013.0
1762045244.8932078,61,255013.0
1762045247.7060888,62,259300.0
1762045250.6490102,63,263520.0
1762045253.5307393,64,267682.0
1762045256.2526357,65,271851.0
1762045258.9812124,66,276077.0
1762045262.0769188,67,280532.0
1762045264.8487606,68,284850.0
1762045267.520368,69,288932.0
1762045270.585046,70,293102.0
1762045273.6155,71,297102.0
1762045276.3528156,72,301102.0
1762045279.2154624,73,305557.0
1762045281.9213643,74,309557.0
1762045284.9373105,75,313557.0
1762045287.871121,76,317691.0
1762045290.7075758,77,321948.0
1762045293.3916464,78,326093.0
1762045296.2326374,79,330125.0
1762045299.1263063,80,334336.0
1762045301.9698443,81,338508.0
1762045304.625282,82,342549.0
1762045307.372682,83,346653.0
1762045310.1516612,84,350768.0
1762045313.1845825,85,354981.0
1762045315.806332,86,358983.0
1762045318.5324483,87,363061.0
1762045321.5657628,88,367305.0
1762045324.4192622,89,371628.0
1762045327.1809773,90,375853.0
1762045330.0657842,91,380100.0
1762045332.822326,92,384236.0
1762045335.5012305,93,388268.0
1762045338.139032,94,392292.0
1762045340.7775707,95,396386.0
1762045343.4625413,96,400426.0
1762045346.1705005,97,404575.0
1762045348.9695542,98,408751.0
1762045351.6980238,99,412861.0
1762045354.3432753,100,416881.0
1762045357.0351923,101,420961.0
1762045359.718318,102,425051.0
1762045362.363241,103,429112.0
1762045365.04254,104,433214.0
1762045367.705971,105,437270.0
1762045370.3428054,106,441285.0
1762045373.0276365,107,445370.0
1762045375.7268662,108,449376.0
1762045378.3773537,109,453413.0
1762045381.3192203,110,457505.0
1762045383.9181197,111,461536.0
1762045386.5456476,112,465591.0
1762045389.4961643,113,469612.0
1762045392.645233,114,473672.0
1762045395.6201816,115,477850.0
1762045398.324963,116,482044.0
1762045400.9960127,117,486113.0
1762045404.2945426,118,490123.0
1762045407.729483,119,494340.0
1762045410.4820216,120,498548.0
1762045413.3092453,121,502755.0
1762045416.2017577,122,506837.0
1762045419.0408537,123,510850.0
1762045421.739794,124,514850.0
1762045424.3668451,125,518850.0
1762045427.0604587,126,522850.0
1762045429.9282274,127,526850.0
1762045432.8960896,128,530850.0
1762045435.5364153,129,534850.0
1762045438.1764486,130,538850.0
1762045441.0268836,131,542850.0
1762045443.7626283,132,546850.0
1762045446.4873161,133,550850.0
1762045449.210216,134,554850.0
1762045451.9298882,135,558850.0
1762045454.6824586,136,562850.0
1762045457.4524248,137,566850.0
1762045460.1946685,138,570850.0
1762045462.934627,139,574850.0
1762045465.690042,140,578850.0
1762045468.4297836,141,582850.0
1762045471.18182,142,586850.0
1762045473.9280558,143,590850.0
1762045476.635787,144,594850.0
