Wall time,Step,Value
1762046356.1340702,0,4019.0
1762046358.8312855,1,8025.0
1762046361.8210053,2,12046.0
1762046364.7277393,3,16084.0
1762046367.3501883,4,20122.0
1762046370.0253527,5,24205.0
1762046372.8293765,6,28405.0
1762046375.543168,7,32494.0
1762046378.1728153,8,36542.0
1762046380.782602,9,40631.0
1762046383.4419367,10,44641.0
1762046386.1039143,11,48675.0
1762046388.8144784,12,52789.0
1762046391.6081407,13,57027.0
1762046394.4098175,14,61135.0
1762046397.0381887,15,65145.0
1762046399.6233165,16,69167.0
1762046402.309892,17,73312.0
1762046405.065739,18,77399.0
1762046407.8390796,19,81493.0
1762046410.7701015,20,85633.0
1762046413.432395,21,89661.0
1762046416.0265791,22,93661.0
1762046418.594138,23,97661.0
1762046421.2183104,24,101661.0
1762046423.8473268,25,105661.0
1762046426.4929876,26,109661.0
1762046429.0701416,27,113661.0
1762046431.6893978,28,117661.0
1762046434.2893243,29,121661.0
1762046437.1605926,30,126125.0
1762046439.963243,31,130584.0
1762046442.5802782,32,134625.0
1762046445.5438335,33,139100.0
1762046448.2147348,34,143345.0
1762046450.94426,35,147580.0
1762046453.606569,36,151760.0
1762046456.3678637,37,155875.0
1762046459.37471,38,160013.0
1762046462.1818657,39,164404.0
1762046464.9155316,40,168555.0
1762046468.0263062,41,172978.0
1762046471.0047226,42,177324.0
1762046473.566319,43,181339.0
1762046476.2877655,44,185634.0
1762046479.2742474,45,189827.0
1762046482.0504937,46,193827.0
1762046484.7676528,47,197827.0
1762046487.3906307,48,201827.0
1762046490.1922462,49,205827.0
1762046493.0297318,50,209827.0
1762046495.7727504,51,213827.0
1762046498.5135036,52,217827.0
1762046501.2175508,53,221827.0
1762046504.0827591,54,225827.0
1762046506.9282465,55,229827.0
1762046509.6489162,56,233827.0
1762046512.339254,57,237827.0
1762046515.072907,58,241827.0
1762046517.8641484,59,245827.0
1762046520.5880065,60,249827.0
1762046523.2377045,61,253827.0
1762046525.9277844,62,257827.0
1762046528.6112752,63,261827.0
1762046531.3155813,64,265827.0
1762046533.9653144,65,269827.0
1762046536.600797,66,273827.0
1762046539.2556932,67,277827.0
1762046541.948832,68,281827.0
1762046544.639592,69,285827.0
1762046547.2945948,70,289827.0
1762046550.009258,71,293827.0
1762046552.6652365,72,297827.0
1762046555.3801186,73,301827.0
1762046558.0779793,74,305827.0
1762046560.7587433,75,309827.0
1762046563.4288304,76,313827.0
1762046566.3464391,77,317827.0
1762046569.034853,78,321827.0
1762046571.74155,79,325827.0
1762046574.4251676,80,329827.0
1762046577.0744958,81,333827.0
1762046579.7266765,82,337827.0
1762046582.4013717,83,341827.0
1762046585.183582,84,345827.0
1762046588.1554163,85,350025.0
1762046591.0125325,86,354025.0
1762046593.6953006,87,358025.0
1762046596.2816446,88,362025.0
1762046599.3891425,89,366025.0
1762046602.668176,90,370025.0
1762046605.3051162,91,374025.0
1762046607.8844392,92,378025.0
1762046610.6231291,93,382025.0
1762046613.5227292,94,386025.0
1762046616.3217354,95,390025.0
1762046618.9944744,96,394025.0
1762046621.759903,97,398025.0
1762046624.8210468,98,402025.0
1762046627.9036179,99,406025.0
1762046630.6042094,100,410025.0
1762046633.3160462,101,414025.0
1762046636.2352672,102,418025.0
1762046639.174605,103,422025.0
1762046642.0021443,104,426025.0
1762046644.6863275,105,430025.0
1762046647.3943546,106,434025.0
1762046650.092649,107,438025.0
1762046652.7774363,108,442025.0
1762046655.503198,109,446025.0
1762046658.2081923,110,450025.0
1762046660.9136174,111,454025.0
1762046663.6271527,112,458025.0
1762046666.3070598,113,462025.0
1762046669.0078702,114,466025.0
1762046671.6726391,115,470025.0
1762046674.3886423,116,474025.0
1762046677.1260366,117,478025.0
1762046679.7768924,118,482025.0
1762046682.3922508,119,486025.0
1762046684.9658184,120,490025.0
1762046687.5770261,121,494025.0
1762046690.187828,122,498025.0
1762046692.7704692,123,502025.0
1762046695.3547394,124,506025.0
1762046698.0344305,125,510025.0
1762046700.6317873,126,514025.0
1762046703.1677365,127,518025.0
1762046706.0339043,128,522025.0
1762046709.3027527,129,526025.0
1762046712.4112067,130,530025.0
1762046714.9669266,131,534025.0
1762046717.571175,132,538025.0
1762046720.8584685,133,542025.0
1762046724.0898156,134,546025.0
1762046726.9581776,135,550025.0
1762046729.4895034,136,554025.0
1762046732.2329216,137,558025.0
1762046734.9405668,138,562025.0
1762046737.794712,139,566025.0
1762046740.4373822,140,570025.0
1762046743.0099385,141,574025.0
1762046745.5575516,142,578025.0
1762046748.3606436,143,582025.0
1762046751.1021407,144,586025.0
1762046753.7439063,145,590025.0
1762046756.4823346,146,594025.0
1762046759.432108,147,598025.0
1762046762.0406663,148,602025.0
1762046764.6556225,149,606025.0
1762046767.2903268,150,610025.0
1762046769.92679,151,614025.0
1762046772.538746,152,618025.0
1762046775.1333027,153,622025.0
1762046777.729413,154,626025.0
1762046780.3853922,155,630025.0
1762046783.000619,156,634025.0
1762046785.6460466,157,638025.0
1762046788.2683234,158,642025.0
1762046790.9042962,159,646025.0
1762046793.4829154,160,650025.0
1762046796.07945,161,654025.0
1762046798.6761024,162,658025.0
1762046801.2370367,163,662025.0
1762046803.949909,164,666025.0
1762046806.6014578,165,670025.0
1762046809.184309,166,674025.0
1762046811.8654168,167,678025.0
1762046814.5101197,168,682025.0
1762046817.12883,169,686025.0
1762046819.713099,170,690025.0
1762046822.3345199,171,694025.0
1762046824.8718565,172,698025.0
1762046828.0109398,173,702025.0
1762046831.2847931,174,706025.0
1762046834.155982,175,710025.0
1762046836.7164686,176,714025.0
1762046839.3692389,177,718025.0
1762046842.4434667,178,722025.0
1762046845.747993,179,726025.0
1762046848.34044,180,730025.0
1762046850.9025922,181,734025.0
1762046853.7608628,182,738025.0
1762046856.581834,183,742025.0
1762046859.4334016,184,746025.0
1762046862.118603,185,750025.0
1762046864.7392282,186,754025.0
1762046867.5283232,187,758025.0
1762046870.4738586,188,762025.0
1762046873.1776648,189,766025.0
1762046875.8353908,190,770025.0
1762046878.6694722,191,774025.0
1762046881.4307232,192,778025.0
1762046884.0647647,193,782025.0
1762046886.6806011,194,786025.0
1762046889.2524652,195,790025.0
1762046891.8402555,196,794025.0
1762046894.4616442,197,798025.0
1762046897.0352,198,802025.0
1762046899.6065462,199,806025.0
