Wall time,Step,Value
1762045695.3798878,0,4017.0
1762045698.0914352,1,8055.0
1762045700.7928517,2,12104.0
1762045703.5088441,3,16140.0
1762045706.1887484,4,20157.0
1762045708.7714243,5,24244.0
1762045711.4190192,6,28350.0
1762045713.9645655,7,32361.0
1762045716.6463523,8,36477.0
1762045719.263878,9,40585.0
1762045722.0682988,10,44711.0
1762045724.7770069,11,48766.0
1762045727.4676583,12,52879.0
1762045730.271104,13,57082.0
1762045733.1117785,14,61368.0
1762045735.8674326,15,65611.0
1762045738.7415342,16,69782.0
1762045741.4748473,17,73922.0
1762045744.5999537,18,78028.0
1762045747.799205,19,82098.0
1762045750.7633672,20,86246.0
1762045753.5594258,21,90372.0
1762045756.5568848,22,94860.0
1762045759.3393533,23,98860.0
1762045762.454733,24,103313.0
1762045765.3109593,25,107681.0
1762045768.0440693,26,111681.0
1762045770.917226,27,115681.0
1762045773.6046062,28,119681.0
1762045776.3534527,29,123681.0
1762045778.9976122,30,127681.0
1762045781.5824869,31,131681.0
1762045784.210618,32,135681.0
1762045786.924192,33,139681.0
1762045789.5394397,34,143681.0
1762045792.4897702,35,148150.0
1762045795.613131,36,152425.0
1762045798.5005515,37,156590.0
1762045801.3969398,38,160695.0
1762045804.2016628,39,165128.0
1762045807.1130095,40,169348.0
1762045809.7141135,41,173363.0
1762045812.3970804,42,177416.0
1762045815.2450216,43,181803.0
1762045817.8749602,44,185803.0
1762045820.4487617,45,189803.0
1762045822.9762821,46,193803.0
1762045825.596127,47,197803.0
1762045828.1726577,48,201803.0
1762045830.7404075,49,205803.0
1762045833.5405457,50,210159.0
1762045836.183615,51,214159.0
1762045838.7996392,52,218159.0
1762045841.440694,53,222159.0
1762045844.07627,54,226159.0
1762045846.7006266,55,230159.0
1762045849.3354363,56,234159.0
1762045851.9314618,57,238159.0
1762045854.5365548,58,242159.0
1762045857.1732905,59,246159.0
1762045859.792909,60,250159.0
1762045862.4262092,61,254159.0
1762045865.1417823,62,258159.0
1762045867.820009,63,262159.0
1762045870.5263352,64,266159.0
1762045873.160151,65,270159.0
1762045875.916871,66,274159.0
1762045878.769379,67,278159.0
1762045881.6914017,68,282159.0
1762045884.2524736,69,286159.0
1762045886.9576936,70,290159.0
1762045889.8276796,71,294159.0
1762045892.6967132,72,298159.0
1762045895.3879278,73,302159.0
1762045897.9997773,74,306159.0
1762045900.7070239,75,310159.0
1762045903.4507122,76,314159.0
1762045906.163596,77,318159.0
1762045908.796767,78,322159.0
1762045911.3920512,79,326159.0
1762045914.1206582,80,330159.0
1762045916.8599286,81,334159.0
1762045919.5041182,82,338159.0
1762045922.097597,83,342159.0
1762045924.6737938,84,346159.0
1762045927.2249815,85,350159.0
1762045929.937862,86,354159.0
1762045932.6467385,87,358159.0
1762045935.3731923,88,362159.0
1762045938.0588355,89,366159.0
1762045940.719536,90,370159.0
1762045943.3863869,91,374159.0
1762045946.142981,92,378159.0
1762045948.8698814,93,382159.0
1762045951.6943092,94,386159.0
1762045954.432387,95,390159.0
1762045957.1670907,96,394159.0
1762045959.9152544,97,398159.0
1762045962.6712134,98,402159.0
1762045965.4436765,99,406159.0
1762045968.2527735,100,410159.0
1762045971.060374,101,414232.0
1762045973.8498044,102,418306.0
1762045976.847971,103,422588.0
1762045979.7806103,104,426767.0
1762045982.7027109,105,430861.0
1762045986.0883865,106,434940.0
1762045989.3858232,107,438965.0
1762045992.0705223,108,442990.0
1762045994.7087977,109,447010.0
1762045997.9408984,110,451050.0
1762046001.2774987,111,455069.0
1762046004.272584,112,459277.0
1762046006.8014984,113,463277.0
1762046010.1386204,114,467672.0
1762046013.3092074,115,471806.0
1762046016.514415,116,475972.0
1762046019.4000025,117,480254.0
1762046022.3884182,118,484501.0
1762046025.435947,119,488501.0
1762046028.6343107,120,492837.0
1762046031.4869206,121,497022.0
1762046034.554207,122,501230.0
1762046037.7287831,123,505368.0
1762046040.9669402,124,509617.0
1762046043.9381223,125,513870.0
1762046046.779663,126,518037.0
1762046049.5623014,127,522155.0
1762046052.344105,128,526299.0
1762046055.1705916,129,530492.0
1762046057.948433,130,534642.0
1762046060.7616851,131,538840.0
1762046063.5872731,132,543026.0
1762046066.3402321,133,547059.0
1762046069.1178563,134,551159.0
1762046071.8561118,135,555167.0
1762046074.6344879,136,559314.0
1762046077.406352,137,563395.0
1762046080.1989498,138,567554.0
1762046083.0576797,139,571685.0
1762046085.8845778,140,575788.0
1762046088.7273595,141,579948.0
1762046091.4966455,142,583948.0
