Wall time,Step,Value
1762046967.1436017,0,4001.0
1762046969.931514,1,8020.0
1762046972.7385964,2,12089.0
1762046975.5398467,3,16145.0
1762046978.2452366,4,20156.0
1762046980.9255083,5,24174.0
1762046983.766772,6,28249.0
1762046986.7290547,7,32284.0
1762046989.4474933,8,36324.0
1762046992.2364657,9,40439.0
1762046994.9927742,10,44490.0
1762046997.809462,11,48499.0
1762047000.688251,12,52700.0
1762047003.5338514,13,56804.0
1762047006.317314,14,60912.0
1762047008.9880323,15,64958.0
1762047011.740926,16,69140.0
1762047014.5579605,17,73295.0
1762047017.4179697,18,77487.0
1762047020.1664126,19,81670.0
1762047022.8704681,20,85670.0
1762047025.7365663,21,89959.0
1762047028.7872837,22,94270.0
1762047031.62916,23,98593.0
1762047034.5295777,24,102985.0
1762047037.4625523,25,107421.0
1762047040.356833,26,111421.0
1762047043.2675915,27,115834.0
1762047045.967552,28,119904.0
1762047048.7682202,29,124076.0
1762047051.6453102,30,128322.0
1762047054.5277905,31,132467.0
1762047057.3226538,32,136554.0
1762047060.2121778,33,140751.0
1762047062.9914186,34,145025.0
1762047066.0848684,35,149318.0
1762047069.208191,36,153560.0
1762047072.09315,37,157729.0
1762047074.8387544,38,162036.0
1762047078.0008569,39,166301.0
1762047081.2329254,40,170774.0
1762047084.2074568,41,175215.0
1762047086.9887993,42,179516.0
1762047089.7299206,43,183516.0
1762047092.9299235,44,188015.0
1762047096.0604985,45,192374.0
1762047098.6967018,46,196374.0
1762047101.4105608,47,200374.0
1762047104.3261952,48,204374.0
1762047107.0419352,49,208374.0
1762047109.8205266,50,212374.0
1762047112.5960002,51,216374.0
1762047115.3958702,52,220374.0
1762047118.3718376,53,224374.0
1762047121.154435,54,228374.0
1762047123.8737142,55,232374.0
1762047126.5391855,56,236374.0
1762047129.4654996,57,240855.0
1762047132.378361,58,245230.0
1762047135.024384,59,249230.0
1762047137.703538,60,253230.0
1762047140.5631537,61,257620.0
1762047143.3265052,62,261783.0
1762047146.015827,63,265783.0
1762047148.7015326,64,269783.0
1762047151.3439622,65,273783.0
1762047154.0919626,66,277783.0
1762047156.7961795,67,281783.0
1762047159.469094,68,285783.0
1762047162.1235163,69,289783.0
1762047164.9955444,70,293783.0
1762047167.6652482,71,297828.0
1762047170.7418396,72,302071.0
1762047173.6306217,73,306370.0
1762047176.3403578,74,310404.0
1762047179.0884507,75,314565.0
1762047181.723,76,318565.0
1762047184.3687882,77,322565.0
1762047187.2948287,78,326565.0
1762047190.1137805,79,330565.0
1762047192.8632443,80,334565.0
1762047195.5596838,81,338565.0
1762047198.2068026,82,342565.0
1762047200.9343588,83,346565.0
1762047203.8251054,84,350565.0
1762047206.4675379,85,354565.0
1762047209.026925,86,358565.0
1762047212.0017705,87,362565.0
1762047214.668842,88,366565.0
1762047217.325019,89,370565.0
1762047219.9138896,90,374565.0
1762047222.4957452,91,378565.0
1762047225.2569678,92,382565.0
1762047227.9924908,93,386565.0
1762047230.5637958,94,390565.0
1762047233.151834,95,394565.0
1762047235.9714475,96,398565.0
1762047238.6593618,97,402565.0
1762047241.263227,98,406565.0
1762047243.8092613,99,410565.0
1762047246.3653016,100,414565.0
1762047248.9582586,101,418565.0
1762047251.4910085,102,422565.0
1762047254.0409214,103,426565.0
1762047256.5957203,104,430565.0
1762047259.162976,105,434565.0
1762047261.7626963,106,438565.0
1762047264.3237214,107,442565.0
1762047266.8805885,108,446565.0
1762047269.4665837,109,450565.0
1762047272.0522103,110,454565.0
1762047274.7226708,111,458565.0
1762047277.34675,112,462565.0
1762047279.962344,113,466565.0
1762047282.5574796,114,470565.0
1762047285.1496887,115,474565.0
1762047287.7607546,116,478565.0
1762047290.3525066,117,482565.0
1762047292.9623826,118,486565.0
1762047295.5813587,119,490565.0
1762047298.1974754,120,494565.0
1762047300.808894,121,498565.0
1762047303.4061782,122,502565.0
1762047306.5973141,123,506565.0
1762047309.8185372,124,510565.0
1762047312.6371732,125,514565.0
1762047315.221296,126,518565.0
1762047317.794805,127,522565.0
1762047321.0112958,128,526565.0
1762047324.075554,129,530565.0
1762047326.6534958,130,534565.0
1762047329.5330837,131,538801.0
1762047332.4085286,132,542809.0
1762047335.5628853,133,547074.0
1762047338.4655247,134,551419.0
1762047341.1550703,135,555646.0
1762047344.1700168,136,559661.0
1762047347.550463,137,564132.0
1762047350.3905933,138,568132.0
1762047353.000432,139,572132.0
1762047355.6225233,140,576132.0
1762047358.321242,141,580132.0
1762047360.9567585,142,584132.0
1762047363.513542,143,588132.0
1762047366.0630894,144,592132.0
1762047368.6990826,145,596132.0
1762047371.3469884,146,600132.0
1762047373.920317,147,604132.0
1762047376.471053,148,608132.0
1762047379.051452,149,612132.0
1762047381.6706889,150,616132.0
1762047384.3020494,151,620132.0
1762047386.873279,152,624132.0
1762047389.4374113,153,628132.0
1762047392.0266862,154,632132.0
1762047394.620081,155,636132.0
1762047397.2312746,156,640132.0
1762047399.8037944,157,644132.0
1762047402.4167864,158,648132.0
1762047404.9809933,159,652132.0
1762047407.5388267,160,656132.0
1762047410.128625,161,660132.0
1762047413.1240635,162,664506.0
1762047415.8306198,163,668506.0
1762047418.5271752,164,672506.0
1762047421.224393,165,676506.0
1762047423.8688676,166,680506.0
1762047426.6525397,167,684506.0
1762047430.2680335,168,688994.0
1762047433.4113421,169,693266.0
1762047435.974009,170,697266.0
1762047439.105677,171,701648.0
1762047442.7642221,172,706140.0
1762047446.225028,173,710589.0
1762047448.9341679,174,714800.0
1762047451.6878564,175,718968.0
1762047454.6913202,176,723130.0
1762047457.8494902,177,727268.0
1762047460.7571917,178,731606.0
1762047463.4649866,179,735606.0
1762047466.3910928,180,739668.0
1762047469.3408332,181,743668.0
1762047472.2359183,182,747668.0
1762047474.9648895,183,751668.0
1762047477.8289387,184,755668.0
1762047480.7373776,185,759668.0
1762047483.4869394,186,763703.0
1762047486.1767037,187,767726.0
1762047488.8961227,188,771777.0
1762047491.6200404,189,775777.0
1762047494.4097905,190,779875.0
1762047497.146249,191,783956.0
1762047499.852459,192,788019.0
1762047502.5513291,193,792019.0
1762047505.2556312,194,796019.0
1762047507.9382234,195,800019.0
1762047510.617873,196,804019.0
1762047513.320491,197,808019.0
1762047516.044683,198,812019.0
1762047518.7554789,199,816019.0
