Wall time,Step,Value
1762044289.3259618,0,1006.0
1762044290.2353451,1,2040.0
1762044291.1127255,2,3055.0
1762044292.0029728,3,4100.0
1762044292.895423,4,5162.0
1762044293.8563383,5,6201.0
1762044294.9609528,6,7294.0
1762044295.938271,7,8329.0
1762044297.0130904,8,9380.0
1762044298.2195256,9,10388.0
1762044299.459281,10,11443.0
1762044300.6858735,11,12485.0
1762044301.926377,12,13513.0
1762044303.0311704,13,14529.0
1762044304.1959693,14,15542.0
1762044305.4120977,15,16569.0
1762044306.6433175,16,17651.0
1762044307.8207266,17,18684.0
1762044309.031958,18,19757.0
1762044310.3002625,19,20826.0
1762044311.5307918,20,21952.0
1762044312.7472866,21,23013.0
1762044314.1357052,22,24172.0
1762044315.3642788,23,25327.0
1762044316.7040489,24,26451.0
1762044318.1916795,25,27629.0
1762044319.4766378,26,28738.0
1762044320.7284083,27,29865.0
1762044322.0688307,28,31026.0
1762044323.2366347,29,32069.0
1762044324.579545,30,33209.0
1762044325.9957645,31,34329.0
1762044327.1615872,32,35471.0
1762044328.37273,33,36516.0
1762044329.6708505,34,37620.0
1762044330.8424177,35,38620.0
1762044332.1252983,36,39794.0
1762044333.2491763,37,40834.0
1762044334.5680554,38,41931.0
1762044335.8705425,39,43081.0
1762044337.111777,40,44163.0
1762044338.2470536,41,45166.0
1762044339.470674,42,46244.0
1762044340.7315094,43,47435.0
1762044342.0316265,44,48531.0
1762044343.1805673,45,49535.0
1762044344.4011893,46,50536.0
1762044345.8037655,47,51537.0
1762044347.1759546,48,52669.0
1762044348.3921332,49,53838.0
1762044349.765168,50,54929.0
1762044351.0433302,51,56045.0
1762044352.3034208,52,57196.0
1762044353.4006438,53,58233.0
1762044354.627393,54,59314.0
1762044355.8814743,55,60394.0
1762044357.1044767,56,61480.0
1762044358.374367,57,62584.0
1762044359.6024454,58,63693.0
1762044360.8897183,59,64875.0
1762044362.0106127,60,65952.0
1762044363.4229083,61,67151.0
1762044364.6863873,62,68325.0
1762044366.0467496,63,69444.0
1762044367.4355943,64,70836.0
1762044368.9158583,65,72028.0
1762044370.3798273,66,73265.0
1762044371.8390298,67,74589.0
1762044373.4951305,68,75993.0
1762044374.6806777,69,76993.0
1762044375.8964984,70,77993.0
1762044377.118006,71,78993.0
1762044378.268619,72,79993.0
1762044379.5915594,73,80993.0
1762044380.7423384,74,81993.0
1762044381.9695501,75,82993.0
1762044383.1342244,76,83993.0
1762044384.368625,77,84993.0
1762044385.5625918,78,85993.0
1762044386.7045853,79,86993.0
1762044387.9080389,80,87993.0
1762044389.1573234,81,88993.0
1762044390.3945239,82,89993.0
1762044391.7636318,83,90993.0
1762044393.0401266,84,91993.0
1762044394.1694033,85,92993.0
1762044395.316992,86,93993.0
1762044396.4537485,87,94993.0
1762044397.5901423,88,95993.0
1762044398.7537718,89,96993.0
1762044399.9256022,90,97993.0
1762044401.0728636,91,98993.0
1762044402.2935936,92,99993.0
1762044403.4736989,93,100993.0
1762044404.5667794,94,101993.0
1762044405.7721298,95,102993.0
1762044406.9078922,96,103993.0
1762044408.0706928,97,104993.0
1762044409.2163093,98,105993.0
1762044410.3588526,99,106993.0
1762044411.4657578,100,107993.0
1762044412.6124303,101,108993.0
1762044413.741925,102,109993.0
1762044414.8817084,103,110993.0
1762044416.0036016,104,111993.0
1762044417.1060953,105,112993.0
1762044418.2802699,106,113993.0
1762044419.4219375,107,114993.0
1762044420.5622385,108,115993.0
1762044421.6816182,109,116993.0
1762044422.8006325,110,117993.0
1762044424.0040922,111,118993.0
1762044425.1207132,112,119993.0
1762044426.301124,113,120993.0
1762044427.529022,114,121993.0
1762044428.6873188,115,122993.0
1762044429.8791754,116,123993.0
1762044431.1455505,117,124993.0
1762044432.327463,118,125993.0
1762044433.4468615,119,126993.0
1762044434.5873203,120,127993.0
1762044435.607544,121,128993.0
1762044436.6735322,122,129993.0
1762044437.7254324,123,130993.0
1762044438.876651,124,131993.0
1762044440.0174253,125,132993.0
1762044441.236983,126,133993.0
1762044442.3239691,127,134993.0
1762044443.4467976,128,135993.0
1762044444.5572655,129,136993.0
1762044445.659619,130,137993.0
1762044446.7765675,131,138993.0
1762044447.8483298,132,139993.0
1762044449.083325,133,140993.0
1762044450.3078933,134,141993.0
1762044451.8198295,135,143406.0
1762044453.0570483,136,144406.0
1762044454.2554464,137,145406.0
1762044455.4378643,138,146406.0
1762044456.5292127,139,147406.0
1762044457.735259,140,148406.0
1762044458.8182335,141,149406.0
1762044459.9837413,142,150406.0
1762044461.1370447,143,151406.0
1762044462.2534482,144,152406.0
1762044463.3959076,145,153406.0
1762044464.5917835,146,154406.0
1762044465.7477005,147,155406.0
1762044466.942206,148,156406.0
1762044468.2310884,149,157406.0
1762044469.490666,150,158406.0
1762044470.6390762,151,159406.0
1762044471.8332615,152,160406.0
1762044472.9178681,153,161406.0
1762044474.1105113,154,162406.0
1762044475.309049,155,163406.0
1762044476.4325948,156,164406.0
1762044477.6033075,157,165406.0
1762044478.7595673,158,166406.0
1762044479.9526558,159,167406.0
1762044481.1747315,160,168406.0
1762044482.317593,161,169406.0
1762044483.477369,162,170406.0
1762044484.6817865,163,171406.0
1762044485.7683034,164,172406.0
1762044486.888802,165,173406.0
1762044488.0249374,166,174406.0
1762044489.1538033,167,175406.0
1762044490.2651944,168,176406.0
1762044491.382488,169,177406.0
1762044492.4719987,170,178406.0
1762044493.5476196,171,179406.0
1762044494.6725266,172,180406.0
1762044495.8524466,173,181406.0
1762044496.97392,174,182406.0
1762044498.1210303,175,183406.0
1762044499.4004984,176,184406.0
1762044500.6925716,177,185406.0
1762044501.8939283,178,186406.0
1762044503.0923514,179,187406.0
1762044504.2411933,180,188406.0
1762044505.4481566,181,189406.0
1762044506.564082,182,190406.0
1762044507.7482324,183,191406.0
1762044508.917437,184,192406.0
1762044510.1046715,185,193406.0
1762044511.3006341,186,194406.0
1762044512.5956767,187,195406.0
1762044513.7764683,188,196406.0
1762044515.0251293,189,197406.0
1762044516.3067667,190,198406.0
1762044517.5760925,191,199406.0
1762044518.793356,192,200406.0
1762044520.0037448,193,201406.0
1762044521.1713204,194,202406.0
1762044522.4054523,195,203406.0
1762044523.5808113,196,204406.0
1762044524.8168378,197,205406.0
1762044525.9559915,198,206406.0
1762044527.0425186,199,207406.0
