Wall time,Step,Value
1762048122.7287755,0,5020.0
1762048125.9657257,1,10037.0
1762048129.294277,2,15100.0
1762048132.558506,3,20129.0
1762048135.8210502,4,25131.0
1762048139.0821173,5,30159.0
1762048142.3665943,6,35169.0
1762048145.7441523,7,40264.0
1762048149.2690713,8,45312.0
1762048152.8645813,9,50349.0
1762048156.221445,10,55393.0
1762048159.4444797,11,60409.0
1762048162.9125755,12,65509.0
1762048166.2478132,13,70555.0
1762048169.635285,14,75867.0
1762048173.0350666,15,80878.0
1762048176.6079192,16,86006.0
1762048179.9855578,17,91081.0
1762048183.2681088,18,96085.0
1762048186.7078838,19,101092.0
1762048190.5060618,20,106347.0
1762048193.9253862,21,111521.0
1762048197.3956892,22,116643.0
1762048201.068434,23,122091.0
1762048204.6395447,24,127566.0
1762048208.2434807,25,133057.0
1762048211.554014,26,138057.0
1762048214.8523934,27,143057.0
1762048218.0182662,28,148057.0
1762048221.247985,29,153057.0
1762048224.514383,30,158057.0
1762048227.791026,31,163057.0
1762048231.0759103,32,168057.0
1762048234.356829,33,173057.0
1762048237.78171,34,178306.0
1762048241.0779977,35,183306.0
1762048244.3577585,36,188306.0
1762048247.611042,37,193306.0
1762048251.0731869,38,198676.0
1762048254.3949192,39,203676.0
1762048257.6719322,40,208676.0
1762048260.9688458,41,213676.0
1762048264.2475784,42,218676.0
1762048267.5563247,43,223676.0
1762048271.11383,44,228676.0
1762048274.6426287,45,233676.0
1762048277.9027898,46,238676.0
1762048281.318145,47,243676.0
1762048284.7064602,48,248676.0
1762048288.2223372,49,253676.0
1762048291.4802022,50,258676.0
1762048294.8991008,51,263676.0
1762048298.4286878,52,268676.0
1762048301.7917767,53,273676.0
1762048305.0636854,54,278676.0
1762048308.6126528,55,283676.0
1762048312.0891323,56,288676.0
1762048315.4675186,57,293676.0
1762048318.821069,58,298676.0
1762048322.1788201,59,303676.0
1762048325.3716109,60,308676.0
1762048328.5608065,61,313800.0
1762048332.0902133,62,319154.0
1762048335.3992598,63,324448.0
1762048338.6800573,64,329641.0
1762048341.8463511,65,334669.0
1762048345.0465786,66,339721.0
1762048348.3637195,67,344952.0
1762048351.7747486,68,350070.0
1762048355.205293,69,355396.0
1762048358.4122283,70,360396.0
1762048361.5969348,71,365396.0
1762048364.8815432,72,370396.0
1762048368.1319983,73,375396.0
1762048371.4143019,74,380396.0
1762048375.098633,75,385777.0
1762048378.5683956,76,391098.0
1762048382.1278276,77,396219.0
1762048385.3277502,78,401261.0
1762048389.1061022,79,406456.0
1762048393.144201,80,411552.0
1762048396.682982,81,416580.0
1762048400.0072954,82,421799.0
1762048403.8343396,83,426871.0
1762048408.0131688,84,432362.0
1762048411.2089367,85,437367.0
1762048414.718861,86,442866.0
1762048418.31064,87,448091.0
1762048422.0271902,88,453567.0
1762048425.2757835,89,458625.0
1762048429.0468037,90,463778.0
1762048432.6962452,91,469178.0
1762048436.1526303,92,474539.0
1762048439.6763515,93,479757.0
1762048443.20896,94,485238.0
1762048446.4126298,95,490238.0
1762048449.869902,96,495699.0
1762048453.0916643,97,500699.0
1762048456.320661,98,505699.0
1762048459.5009289,99,510699.0
