Wall time,Step,Value
1762055498.9401867,0,5012.0
1762055502.2193692,1,10021.0
1762055505.50133,2,15060.0
1762055508.7759092,3,20108.0
1762055511.923844,4,25133.0
1762055515.196468,5,30180.0
1762055518.726609,6,35348.0
1762055522.1012204,7,40364.0
1762055525.4106486,8,45405.0
1762055528.8516905,9,50623.0
1762055532.2544112,10,55805.0
1762055535.7266138,11,61027.0
1762055539.1357987,12,66128.0
1762055542.522779,13,71252.0
1762055545.8756034,14,76378.0
1762055549.4838262,15,81692.0
1762055553.075572,16,86838.0
1762055556.4977746,17,91960.0
1762055559.8204215,18,96960.0
1762055563.4002252,19,102315.0
1762055566.8938782,20,107633.0
1762055570.5119557,21,112801.0
1762055574.0225692,22,118107.0
1762055577.5155675,23,123436.0
1762055580.81978,24,128436.0
1762055584.449934,25,133436.0
1762055588.0773208,26,138436.0
1762055591.6385386,27,143918.0
1762055595.3089526,28,149325.0
1762055599.4568446,29,154747.0
1762055602.9679644,30,159753.0
1762055606.4632428,31,165229.0
1762055610.1607335,32,170371.0
1762055613.8706656,33,175500.0
1762055617.3901935,34,180740.0
1762055620.7526217,35,185740.0
1762055624.639211,36,191214.0
1762055628.0949473,37,196214.0
1762055631.3865874,38,201214.0
1762055634.9135058,39,206214.0
1762055638.350735,40,211214.0
1762055641.9383566,41,216696.0
1762055645.2086637,42,221696.0
1762055648.758283,43,227153.0
1762055652.0275223,44,232153.0
1762055655.2825725,45,237153.0
1762055658.5486805,46,242153.0
1762055661.8253303,47,247153.0
1762055665.099958,48,252153.0
1762055668.2982218,49,257153.0
1762055671.5633185,50,262153.0
1762055675.2732146,51,267577.0
1762055678.7543206,52,272819.0
1762055682.0659282,53,277970.0
1762055685.3849635,54,283115.0
1762055688.7632658,55,288320.0
1762055692.067174,56,293320.0
1762055695.3604248,57,298320.0
1762055698.6607912,58,303320.0
1762055701.9322186,59,308320.0
1762055705.4778292,60,313320.0
1762055709.3288572,61,318634.0
1762055712.7784693,62,323849.0
1762055716.316574,63,329295.0
1762055719.9317744,64,334590.0
1762055723.6369877,65,339953.0
1762055726.8649435,66,344953.0
1762055730.6236818,67,350435.0
1762055733.996774,68,355435.0
1762055737.6248925,69,360662.0
1762055740.8115635,70,365662.0
1762055744.2560596,71,371017.0
1762055747.557438,72,376017.0
1762055750.7831287,73,381017.0
1762055754.1714022,74,386017.0
1762055757.548421,75,391017.0
1762055760.8019266,76,396017.0
1762055764.0177946,77,401017.0
1762055767.243037,78,406017.0
1762055770.4842389,79,411017.0
1762055773.683824,80,416017.0
1762055776.9082537,81,421017.0
1762055780.1704814,82,426017.0
1762055783.3301072,83,431017.0
1762055786.5269487,84,436017.0
1762055789.748466,85,441017.0
1762055793.016035,86,446017.0
1762055796.2412717,87,451017.0
1762055799.5001435,88,456017.0
1762055802.7702043,89,461017.0
1762055805.9916573,90,466017.0
1762055809.2370276,91,471017.0
1762055812.4868505,92,476017.0
1762055815.6991713,93,481017.0
1762055818.8900995,94,486017.0
1762055822.0627692,95,491017.0
1762055825.9264617,96,496017.0
1762055829.9097743,97,501017.0
1762055833.0706537,98,506017.0
1762055836.2305403,99,511017.0
