Wall time,Step,Value
1762055941.2452707,0,5013.0
1762055944.8679802,1,10015.0
1762055948.5186071,2,15045.0
1762055951.8055615,3,20056.0
1762055955.050838,4,25061.0
1762055958.6288333,5,30107.0
1762055962.2580602,6,35124.0
1762055965.5665097,7,40225.0
1762055969.0728154,8,45249.0
1762055972.6890478,9,50289.0
1762055976.0423954,10,55466.0
1762055979.3375158,11,60492.0
1762055982.866127,12,65635.0
1762055986.598464,13,70882.0
1762055990.0138521,14,76063.0
1762055993.4092531,15,81171.0
1762055997.1363492,16,86514.0
1762056000.7399468,17,91865.0
1762056004.252535,18,97331.0
1762056007.7600565,19,102764.0
1762056011.266112,20,108143.0
1762056014.689653,21,113432.0
1762056017.9186034,22,118432.0
1762056021.450056,23,123909.0
1762056024.9201083,24,129317.0
1762056028.170164,25,134317.0
1762056031.4443126,26,139317.0
1762056034.8300657,27,144475.0
1762056038.4184396,28,149909.0
1762056041.798608,29,155001.0
1762056045.3796136,30,160313.0
1762056048.7708378,31,165313.0
1762056052.3766966,32,170649.0
1762056055.7508316,33,175649.0
1762056059.3084688,34,180888.0
1762056062.8889701,35,186280.0
1762056066.4119647,36,191280.0
1762056070.1996515,37,196644.0
1762056073.4480028,38,201644.0
1762056076.880995,39,206644.0
1762056080.5238953,40,211644.0
1762056083.8964322,41,216644.0
1762056087.4377553,42,222013.0
1762056091.063707,43,227013.0
1762056094.5370026,44,232013.0
1762056097.9029596,45,237013.0
1762056101.647154,46,242512.0
1762056105.1356487,47,247512.0
1762056108.947971,48,252902.0
1762056112.2919016,49,257902.0
1762056115.9196672,50,263211.0
1762056119.6374133,51,268406.0
1762056123.204618,52,273468.0
1762056126.5474534,53,278468.0
1762056129.8957767,54,283468.0
1762056133.5093207,55,288915.0
1762056136.8761861,56,293915.0
1762056140.535106,57,299125.0
1762056144.1042101,58,304388.0
1762056147.5207267,59,309427.0
1762056151.0049043,60,314595.0
1762056154.438076,61,319741.0
1762056157.8688347,62,324935.0
1762056161.3605947,63,330162.0
1762056164.8545938,64,335385.0
1762056168.336351,65,340537.0
1762056171.863106,66,345547.0
1762056175.2903366,67,350708.0
1762056178.8352578,68,356122.0
1762056182.030446,69,361122.0
1762056185.5267127,70,366122.0
1762056189.5299942,71,371122.0
1762056192.9626694,72,376122.0
1762056196.2729535,73,381122.0
1762056200.495537,74,386452.0
1762056204.458617,75,391452.0
1762056207.757979,76,396581.0
1762056211.277564,77,401581.0
1762056215.3841546,78,406741.0
1762056218.8036191,79,411741.0
1762056222.3885047,80,417102.0
1762056226.322927,81,422148.0
1762056230.1082625,82,427148.0
1762056233.437471,83,432190.0
1762056237.213471,84,437637.0
1762056240.8778646,85,442637.0
1762056244.2457623,86,447637.0
1762056247.6143038,87,452637.0
1762056250.9582036,88,457637.0
1762056254.2084317,89,462637.0
1762056257.4882188,90,467637.0
1762056260.7057354,91,472637.0
1762056263.9237528,92,477637.0
1762056267.193415,93,482637.0
1762056270.4855819,94,487637.0
1762056273.773692,95,492637.0
1762056277.343425,96,498048.0
1762056280.9422843,97,503544.0
1762056284.2337449,98,508544.0
1762056287.6427298,99,513721.0
