Wall time,Step,Value
1762043718.8826115,0,1018.0
1762043719.7682128,1,2023.0
1762043720.601608,2,3065.0
1762043721.4465525,3,4074.0
1762043722.3161833,4,5088.0
1762043723.3036911,5,6151.0
1762043724.244201,6,7173.0
1762043725.2306228,7,8204.0
1762043726.2076797,8,9262.0
1762043727.2286947,9,10403.0
1762043728.2095625,10,11438.0
1762043729.1576579,11,12447.0
1762043729.957926,12,13447.0
1762043730.8343284,13,14468.0
1762043731.7071471,14,15560.0
1762043732.6694114,15,16779.0
1762043733.6204367,16,17959.0
1762043734.4895074,17,18964.0
1762043735.4191651,18,20140.0
1762043736.2638254,19,21181.0
1762043737.182183,20,22226.0
1762043738.0525997,21,23247.0
1762043738.8804252,22,24273.0
1762043739.8003848,23,25328.0
1762043740.6945002,24,26358.0
1762043741.5967848,25,27514.0
1762043742.5412562,26,28665.0
1762043743.5250168,27,29747.0
1762043744.482395,28,30872.0
1762043745.5659416,29,32133.0
1762043746.4205208,30,33201.0
1762043747.4544966,31,34457.0
1762043748.3282783,32,35485.0
1762043749.3888302,33,36699.0
1762043750.5323584,34,38002.0
1762043751.4886363,35,39088.0
1762043752.4321885,36,40117.0
1762043753.350635,37,41196.0
1762043754.1932168,38,42224.0
1762043755.1291935,39,43314.0
1762043756.021915,40,44368.0
1762043756.9232562,41,45409.0
1762043757.8624265,42,46436.0
1762043758.8612885,43,47482.0
1762043759.8144689,44,48691.0
1762043760.7087784,45,49733.0
1762043761.6354508,46,50785.0
1762043762.560062,47,51894.0
1762043763.5068514,48,53081.0
1762043764.4511013,49,54184.0
1762043765.3746438,50,55349.0
1762043766.5061061,51,56820.0
1762043767.4472973,52,58043.0
1762043768.563843,53,59445.0
1762043769.421842,54,60445.0
1762043770.275922,55,61445.0
1762043771.3817453,56,62868.0
1762043772.226313,57,63868.0
1762043773.317116,58,65085.0
1762043774.3221467,59,66387.0
1762043775.1890736,60,67445.0
1762043776.0850468,61,68574.0
1762043776.911534,62,69600.0
1762043777.7760034,63,70672.0
1762043778.6238623,64,71731.0
1762043779.5028038,65,72752.0
1762043780.338635,66,73772.0
1762043781.1482317,67,74786.0
1762043781.933888,68,75809.0
1762043782.765004,69,76828.0
1762043783.5689013,70,77831.0
1762043784.4003851,71,78839.0
1762043785.2479362,72,79878.0
1762043786.101624,73,80914.0
1762043786.90826,74,81931.0
1762043787.7259135,75,82957.0
1762043788.54964,76,83997.0
1762043789.3997362,77,85032.0
1762043790.2284846,78,86057.0
1762043791.0743122,79,87078.0
1762043791.9113715,80,88105.0
1762043792.7369075,81,89112.0
1762043793.5994742,82,90143.0
1762043794.4316993,83,91154.0
1762043795.2739184,84,92170.0
1762043796.1432343,85,93211.0
1762043797.0298662,86,94273.0
1762043797.8891506,87,95298.0
1762043798.7706268,88,96320.0
1762043799.6545732,89,97356.0
1762043800.4907107,90,98365.0
1762043801.3698707,91,99448.0
1762043802.2230535,92,100472.0
1762043803.0703795,93,101524.0
1762043803.9320323,94,102527.0
1762043804.8486497,95,103587.0
1762043805.734635,96,104676.0
1762043806.5947351,97,105773.0
1762043807.4871595,98,106796.0
1762043808.352972,99,107859.0
1762043809.2058547,100,108918.0
1762043810.0762782,101,109938.0
1762043810.9768124,102,111001.0
1762043811.8278897,103,112097.0
1762043812.7246354,104,113203.0
1762043813.6446874,105,114366.0
1762043814.5787244,106,115485.0
1762043815.4678464,107,116582.0
1762043816.3866014,108,117622.0
1762043817.234707,109,118652.0
1762043818.1600757,110,119801.0
1762043819.057569,111,120914.0
1762043819.9903045,112,122034.0
1762043820.8570793,113,123066.0
1762043821.8019137,114,124157.0
1762043822.7479842,115,125210.0
1762043823.64635,116,126317.0
1762043824.5405698,117,127395.0
1762043825.3817432,118,128418.0
1762043826.218939,119,129426.0
1762043827.1445897,120,130525.0
1762043828.043829,121,131634.0
1762043828.872945,122,132675.0
1762043829.9168127,123,133745.0
1762043830.9199939,124,134840.0
1762043831.8970294,125,135893.0
1762043832.9074054,126,136991.0
