Wall time,Step,Value
1762044806.2232277,0,1027.0
1762044807.0877755,1,2057.0
1762044808.019475,2,3070.0
1762044809.0691974,3,4075.0
1762044810.0907838,4,5092.0
1762044811.2462025,5,6121.0
1762044812.3971045,6,7140.0
1762044813.3995898,7,8170.0
1762044814.528624,8,9303.0
1762044815.5210178,9,10438.0
1762044816.4041166,10,11491.0
1762044817.3406365,11,12506.0
1762044818.2565014,12,13585.0
1762044819.2014072,13,14626.0
1762044820.177255,14,15747.0
1762044821.0997062,15,16797.0
1762044822.2128417,16,17954.0
1762044823.1312032,17,18992.0
1762044824.0174813,18,20028.0
1762044825.03619,19,21120.0
1762044825.9921775,20,22218.0
1762044827.0363114,21,23374.0
1762044828.0218985,22,24450.0
1762044829.0137336,23,25633.0
1762044829.978172,24,26722.0
1762044830.8427548,25,27730.0
1762044831.8132455,26,28849.0
1762044832.6831152,27,29869.0
1762044833.5400681,28,30896.0
1762044834.5204453,29,31926.0
1762044835.4474752,30,33003.0
1762044836.3266118,31,34019.0
1762044837.2990835,32,35167.0
1762044838.516942,33,36380.0
1762044839.6831625,34,37586.0
1762044840.5825007,35,38613.0
1762044841.630326,36,39771.0
1762044842.601225,37,40889.0
1762044843.6539042,38,42053.0
1762044844.727815,39,43204.0
1762044845.6842442,40,44250.0
1762044846.8835673,41,45454.0
1762044847.9052052,42,46593.0
1762044849.2969098,43,48070.0
1762044850.4346316,44,49268.0
1762044851.4893215,45,50580.0
1762044852.6365306,46,52025.0
1762044853.5168018,47,53025.0
1762044854.4000912,48,54025.0
1762044855.292772,49,55025.0
1762044856.335595,50,56365.0
1762044857.5109022,51,57652.0
1762044858.48812,52,58703.0
1762044859.5131152,53,60013.0
1762044860.3707542,54,61045.0
1762044861.3049164,55,62157.0
1762044862.3286269,56,63260.0
1762044863.3440573,57,64372.0
1762044864.457939,58,65444.0
1762044865.398648,59,66608.0
1762044866.3726842,60,67653.0
1762044867.3423827,61,68870.0
1762044868.3801055,62,70200.0
1762044869.437713,63,71421.0
1762044870.6860528,64,72916.0
1762044871.7829604,65,74241.0
1762044872.8398027,66,75463.0
1762044873.9792907,67,76703.0
1762044874.955762,68,77975.0
1762044876.0067966,69,79300.0
1762044877.0134337,70,80588.0
1762044877.9154997,71,81642.0
1762044878.8964992,72,82701.0
1762044879.835142,73,83790.0
1762044881.0480952,74,85061.0
1762044882.0906994,75,86301.0
1762044883.1274793,76,87470.0
1762044884.167125,77,88787.0
1762044885.0701597,78,89787.0
1762044885.9730537,79,90842.0
1762044886.8398767,80,91842.0
1762044887.7268474,81,92842.0
1762044888.6147048,82,93842.0
1762044889.4850368,83,94842.0
1762044890.367667,84,95842.0
1762044891.24446,85,96842.0
1762044892.1229713,86,97842.0
1762044893.0026212,87,98842.0
1762044893.8877916,88,99842.0
1762044894.797945,89,100842.0
1762044895.6748672,90,101842.0
1762044896.5592847,91,102842.0
1762044897.4262152,92,103842.0
1762044898.3125854,93,104842.0
1762044899.178705,94,105842.0
1762044900.0368402,95,106842.0
1762044900.9188404,96,107842.0
1762044901.779361,97,108842.0
1762044902.6572635,98,109842.0
1762044903.5216146,99,110842.0
1762044904.4063451,100,111842.0
1762044905.3959506,101,112842.0
1762044906.3860993,102,113842.0
1762044907.3600903,103,114842.0
1762044908.346795,104,115842.0
1762044909.2934463,105,116842.0
1762044910.2714016,106,117842.0
1762044911.1503341,107,118842.0
1762044912.2203498,108,120192.0
1762044913.1297834,109,121192.0
1762044914.0562117,110,122192.0
1762044914.9852288,111,123192.0
1762044915.9105709,112,124192.0
1762044916.9637663,113,125192.0
1762044918.1174774,114,126192.0
1762044919.1442134,115,127342.0
1762044920.2183273,116,128414.0
1762044921.19393,117,129515.0
1762044922.1225324,118,130532.0
1762044923.149992,119,131644.0
1762044924.2977002,120,132873.0
1762044925.298822,121,134098.0
1762044926.2287564,122,135127.0
1762044927.2262692,123,136249.0
1762044928.1681764,124,137443.0
1762044929.0362525,125,138446.0
1762044929.944093,126,139550.0
1762044931.007607,127,140633.0
1762044931.9850054,128,141760.0
1762044932.9015021,129,142772.0
1762044933.8464675,130,143789.0
1762044934.8026865,131,144848.0
1762044935.7766032,132,145981.0
1762044936.618848,133,146982.0
1762044937.5574381,134,148077.0
1762044938.4887903,135,149161.0
1762044939.398445,136,150221.0
1762044940.3875804,137,151322.0
1762044941.3543239,138,152468.0
1762044942.25757,139,153490.0
1762044943.3837416,140,154630.0
1762044944.6046154,141,155802.0
1762044945.590793,142,156828.0
1762044946.529678,143,157828.0
1762044947.4676948,144,158828.0
1762044948.380251,145,159828.0
1762044949.2902992,146,160828.0
1762044950.203232,147,161828.0
1762044951.122049,148,162828.0
1762044952.0402563,149,163828.0
1762044952.9191747,150,164828.0
1762044953.8460257,151,165828.0
1762044954.7795515,152,166828.0
1762044955.682758,153,167828.0
1762044956.63009,154,168828.0
1762044957.4998057,155,169828.0
1762044958.4034348,156,170828.0
1762044959.3850381,157,171828.0
1762044960.360813,158,172828.0
1762044961.2412395,159,173828.0
1762044962.1460664,160,174828.0
1762044963.052803,161,175828.0
1762044963.9537752,162,176828.0
1762044964.8429167,163,177828.0
1762044965.7418916,164,178828.0
1762044966.65353,165,179828.0
1762044967.5643194,166,180828.0
1762044968.4445245,167,181828.0
1762044969.3396943,168,182828.0
1762044970.2287068,169,183828.0
1762044971.1308389,170,184828.0
1762044972.0446806,171,185828.0
1762044972.9624484,172,186828.0
1762044973.8832638,173,187828.0
1762044974.7924483,174,188828.0
1762044975.6983337,175,189828.0
1762044976.597957,176,190828.0
1762044977.499161,177,191828.0
1762044978.4134007,178,192828.0
1762044979.3188643,179,193828.0
1762044980.2205675,180,194828.0
1762044981.105912,181,195828.0
1762044981.9568932,182,196828.0
1762044982.8552182,183,197828.0
1762044983.7468448,184,198828.0
1762044984.640414,185,199828.0
1762044985.543243,186,200828.0
1762044986.4440014,187,201828.0
1762044987.3529084,188,202828.0
1762044988.271343,189,203828.0
1762044989.1412098,190,204828.0
1762044990.0480556,191,205828.0
1762044990.9444628,192,206828.0
1762044991.8603299,193,207828.0
1762044992.7929766,194,208880.0
1762044993.701212,195,209880.0
1762044994.6412666,196,210931.0
1762044995.5609426,197,211931.0
1762044996.5063267,198,213007.0
1762044997.4131377,199,214019.0
