Wall time,Step,Value
1762047741.5949948,0,5046.0
1762047744.899312,1,10066.0
1762047748.2226064,2,15128.0
1762047751.5106065,3,20136.0
1762047754.8124354,4,25176.0
1762047758.1492636,5,30215.0
1762047761.4373245,6,35233.0
1762047764.7114422,7,40276.0
1762047768.0600593,8,45361.0
1762047771.4587433,9,50525.0
1762047774.8240414,10,55607.0
1762047778.1418426,11,60608.0
1762047781.8388312,12,65719.0
1762047785.3876264,13,70787.0
1762047789.0706487,14,76161.0
1762047792.9605641,15,81560.0
1762047796.4823828,16,86560.0
1762047800.0394642,17,91953.0
1762047803.5459595,18,97014.0
1762047807.1903002,19,102064.0
1762047810.5708349,20,107094.0
1762047813.880889,21,112118.0
1762047817.3341515,22,117243.0
1762047820.8830838,23,122306.0
1762047824.2876177,24,127349.0
1762047827.665731,25,132436.0
1762047831.5370383,26,137550.0
1762047835.216446,27,142712.0
1762047838.7225075,28,148190.0
1762047842.1118863,29,153418.0
1762047845.494035,30,158587.0
1762047848.7984865,31,163805.0
1762047852.010082,32,168808.0
1762047855.4849398,33,174300.0
1762047858.765388,34,179407.0
1762047862.2221365,35,184837.0
1762047865.7151308,36,190313.0
1762047868.8602595,37,195313.0
1762047872.2987115,38,200753.0
1762047875.713713,39,206228.0
1762047879.0379424,40,211408.0
1762047882.2389734,41,216408.0
1762047885.4143772,42,221408.0
1762047888.666997,43,226408.0
1762047891.8258095,44,231408.0
1762047895.0537124,45,236408.0
1762047898.2622871,46,241408.0
1762047901.4786217,47,246408.0
1762047904.893326,48,251408.0
1762047908.1269786,49,256408.0
1762047911.5377202,50,261408.0
1762047915.1865036,51,266408.0
1762047918.491015,52,271408.0
1762047921.6860142,53,276408.0
1762047925.2955248,54,281408.0
1762047928.8723118,55,286408.0
1762047932.1203887,56,291408.0
1762047935.4307559,57,296408.0
1762047938.7309737,58,301408.0
1762047942.0335224,59,306408.0
1762047945.323417,60,311408.0
1762047948.6511278,61,316408.0
1762047952.0942276,62,321408.0
1762047955.3715453,63,326408.0
1762047958.7059674,64,331408.0
1762047961.948948,65,336408.0
1762047965.1232898,66,341408.0
1762047968.3635476,67,346408.0
1762047971.5797732,68,351408.0
1762047974.7562292,69,356408.0
1762047978.0759437,70,361408.0
1762047981.2484941,71,366408.0
1762047984.4579532,72,371408.0
1762047987.6667805,73,376408.0
1762047990.9366128,74,381484.0
1762047994.228501,75,386663.0
1762047997.603979,76,391905.0
1762048000.9453895,77,397105.0
1762048004.2806876,78,402333.0
1762048007.5995789,79,407525.0
1762048011.0567434,80,412946.0
1762048014.493219,81,418231.0
1762048017.8814633,82,423480.0
1762048021.2817729,83,428515.0
1762048024.7642772,84,433613.0
1762048027.999359,85,438686.0
1762048031.7822528,86,443864.0
1762048035.774495,87,448939.0
1762048039.1190438,88,453939.0
1762048042.2777445,89,458966.0
1762048046.2740796,90,464179.0
1762048050.1148877,91,469297.0
1762048053.4024417,92,474416.0
1762048056.800923,93,479559.0
1762048060.693333,94,484853.0
1762048064.2219238,95,489916.0
1762048067.5065105,96,494951.0
1762048071.1513567,97,499951.0
1762048074.8598208,98,505445.0
1762048078.1395488,99,510445.0
